,tournament_selection|gbx_crossover|swap_mutation,tournament_selection|eager_breader_crossover|swap_mutation,tournament_selection|twin_maker|the_hop,tournament_selection|gbx_crossover|merge_and_split,tournament_selection|eager_breader_crossover|the_hop,tournament_selection|twin_maker|dream_team,tournament_selection|twin_maker|merge_and_split,tournament_selection|gbx_crossover|dream_team,fps|gbx_crossover|swap_mutation,fps|eager_breader_crossover|swap_mutation,fps|twin_maker|the_hop,fps|gbx_crossover|merge_and_split,fps|eager_breader_crossover|the_hop,fps|twin_maker|dream_team,fps|twin_maker|merge_and_split,fps|gbx_crossover|dream_team,ranking_selection|gbx_crossover|swap_mutation,ranking_selection|eager_breader_crossover|swap_mutation,ranking_selection|twin_maker|the_hop,ranking_selection|gbx_crossover|merge_and_split,ranking_selection|eager_breader_crossover|the_hop,ranking_selection|twin_maker|dream_team,ranking_selection|twin_maker|merge_and_split,ranking_selection|gbx_crossover|dream_team
0,34990.0,44630.0,23760.0,35006.666666666664,44510.0,26056.666666666668,24010.0,35340.0,33156.666666666664,41860.0,22050.0,33636.666666666664,41853.333333333336,24556.666666666668,22000.0,33813.333333333336,32820.0,41773.333333333336,22000.0,32723.333333333332,41183.333333333336,24216.666666666668,22900.0,32903.333333333336
1,44870.0,60506.666666666664,25323.333333333332,44923.333333333336,60066.666666666664,28553.333333333332,25563.333333333332,44523.333333333336,41606.666666666664,56283.333333333336,23390.0,42263.333333333336,56216.666666666664,25883.333333333332,23400.0,41443.333333333336,40540.0,54420.0,23220.0,39613.333333333336,55810.0,26050.0,23946.666666666668,41020.0
2,51193.333333333336,68846.66666666667,26613.333333333332,51470.0,68443.33333333333,30263.333333333332,26620.0,52776.666666666664,47646.666666666664,64386.666666666664,24386.666666666668,47596.666666666664,65450.0,27326.666666666668,24766.666666666668,46333.333333333336,46046.666666666664,63410.0,23876.666666666668,45500.0,63886.666666666664,27233.333333333332,24970.0,45346.666666666664
3,57360.0,73266.66666666667,27806.666666666668,57250.0,72940.0,31506.666666666668,27963.333333333332,57113.333333333336,52346.666666666664,69380.0,25716.666666666668,52020.0,69696.66666666667,28760.0,25703.333333333332,51370.0,50610.0,68270.0,24646.666666666668,50030.0,69310.0,28660.0,25223.333333333332,49836.666666666664
4,61166.666666666664,75536.66666666667,29780.0,60433.333333333336,75010.0,32476.666666666668,29506.666666666668,61520.0,56070.0,72313.33333333333,26750.0,55216.666666666664,73006.66666666667,29526.666666666668,26243.333333333332,53926.666666666664,54243.333333333336,71866.66666666667,25696.666666666668,54263.333333333336,72340.0,29510.0,26050.0,53770.0
5,64120.0,76973.33333333333,30930.0,63480.0,76840.0,34650.0,30350.0,64280.0,58286.666666666664,74293.33333333333,27343.333333333332,58780.0,74590.0,30596.666666666668,27460.0,57006.666666666664,57570.0,74240.0,25960.0,56526.666666666664,74416.66666666667,29856.666666666668,26610.0,55960.0
6,66546.66666666667,77706.66666666667,32336.666666666668,66566.66666666667,77623.33333333333,36053.333333333336,31596.666666666668,66743.33333333333,60536.666666666664,75840.0,28060.0,60996.666666666664,75826.66666666667,30896.666666666668,27966.666666666668,59733.333333333336,60043.333333333336,76026.66666666667,26530.0,58973.333333333336,76110.0,30040.0,26990.0,58836.666666666664
7,68900.0,78023.33333333333,33333.333333333336,68540.0,78076.66666666667,36726.666666666664,32403.333333333332,68603.33333333333,62636.666666666664,76563.33333333333,29006.666666666668,62910.0,77033.33333333333,31736.666666666668,28576.666666666668,62126.666666666664,62190.0,77260.0,27000.0,60296.666666666664,77086.66666666667,30586.666666666668,27550.0,60786.666666666664
8,70533.33333333333,78143.33333333333,34176.666666666664,70503.33333333333,78393.33333333333,37396.666666666664,34060.0,70443.33333333333,64143.333333333336,77620.0,29486.666666666668,64126.666666666664,77590.0,32116.666666666668,29233.333333333332,64076.666666666664,63376.666666666664,77830.0,27816.666666666668,62410.0,77703.33333333333,31103.333333333332,27833.333333333332,62413.333333333336
9,71483.33333333333,78240.0,35216.666666666664,71856.66666666667,78446.66666666667,38593.333333333336,34696.666666666664,71883.33333333333,65613.33333333333,78010.0,30253.333333333332,65446.666666666664,78390.0,32456.666666666668,29453.333333333332,64790.0,64633.333333333336,78336.66666666667,28276.666666666668,64103.333333333336,78070.0,31783.333333333332,28326.666666666668,64080.0
