,tournament_selection|gbx_crossover|swap_mutation,tournament_selection|eager_breeder_crossover|swap_mutation,tournament_selection|twin_maker|the_hop,tournament_selection|gbx_crossover|merge_and_split,tournament_selection|eager_breeder_crossover|the_hop,tournament_selection|twin_maker|dream_team,tournament_selection|twin_maker|merge_and_split,tournament_selection|gbx_crossover|dream_team,fps|gbx_crossover|swap_mutation,fps|eager_breeder_crossover|swap_mutation,fps|twin_maker|the_hop,fps|gbx_crossover|merge_and_split,fps|eager_breeder_crossover|the_hop,fps|twin_maker|dream_team,fps|twin_maker|merge_and_split,fps|gbx_crossover|dream_team,ranking_selection|gbx_crossover|swap_mutation,ranking_selection|eager_breeder_crossover|swap_mutation,ranking_selection|twin_maker|the_hop,ranking_selection|gbx_crossover|merge_and_split,ranking_selection|eager_breeder_crossover|the_hop,ranking_selection|twin_maker|dream_team,ranking_selection|twin_maker|merge_and_split,ranking_selection|gbx_crossover|dream_team
0,34990,44630,23760,35006.6667,44510,26056.6667,24010,35340,33156.6667,41860,22050,33636.6667,41853.3333,24556.6667,22000,33813.3333,32820,41773.3333,22000,32723.3333,41183.3333,24216.6667,22900,32903.3333
1,44870,60506.6667,25323.3333,44923.3333,60066.6667,28553.3333,25563.3333,44523.3333,41606.6667,56283.3333,23390,42263.3333,56216.6667,25883.3333,23400,41443.3333,40540,54420,23220,39613.3333,55810,26050,23946.6667,41020
2,51193.3333,68846.6667,26613.3333,51470,68443.3333,30263.3333,26620,52776.6667,47646.6667,64386.6667,24386.6667,47596.6667,65450,27326.6667,24766.6667,46333.3333,46046.6667,63410,23876.6667,45500,63886.6667,27233.3333,24970,45346.6667
3,57360,73266.6667,27806.6667,57250,72940,31506.6667,27963.3333,57113.3333,52346.6667,69380,25716.6667,52020,69696.6667,28760,25703.3333,51370,50610,68270,24646.6667,50030,69310,28660,25223.3333,49836.6667
4,61166.6667,75536.6667,29780,60433.3333,75010,32476.6667,29506.6667,61520,56070,72313.3333,26750,55216.6667,73006.6667,29526.6667,26243.3333,53926.6667,54243.3333,71866.6667,25696.6667,54263.3333,72340,29510,26050,53770
5,64120,76973.3333,30930,63480,76840,34650,30350,64280,58286.6667,74293.3333,27343.3333,58780,74590,30596.6667,27460,57006.6667,57570,74240,25960,56526.6667,74416.6667,29856.6667,26610,55960
6,66546.6667,77706.6667,32336.6667,66566.6667,77623.3333,36053.3333,31596.6667,66743.3333,60536.6667,75840,28060,60996.6667,75826.6667,30896.6667,27966.6667,59733.3333,60043.3333,76026.6667,26530,58973.3333,76110,30040,26990,58836.6667
7,68900,78023.3333,33333.3333,68540,78076.6667,36726.6667,32403.3333,68603.3333,62636.6667,76563.3333,29006.6667,62910,77033.3333,31736.6667,28576.6667,62126.6667,62190,77260,27000,60296.6667,77086.6667,30586.6667,27550,60786.6667
8,70533.3333,78143.3333,34176.6667,70503.3333,78393.3333,37396.6667,34060,70443.3333,64143.3333,77620,29486.6667,64126.6667,77590,32116.6667,29233.3333,64076.6667,63376.6667,77830,27816.6667,62410,77703.3333,31103.3333,27833.3333,62413.3333
9,71483.3333,78240,35216.6667,71856.6667,78446.6667,38593.3333,34696.6667,71883.3333,65613.3333,78010,30253.3333,65446.6667,78390,32456.6667,29453.3333,64790,64633.3333,78336.6667,28276.6667,64103.3333,78070,31783.3333,28326.6667,64080
10,72996.6667,78260,36940,72983.3333,78500,39466.6667,35793.3333,72630,67423.3333,78536.6667,30810,66720,78593.3333,33136.6667,30333.3333,65833.3333,65513.3333,78700,28370,65130,78556.6667,32020,28763.3333,64873.3333
11,73860,78316.6667,37700,73733.3333,78533.3333,40116.6667,36296.6667,73970,68330,79016.6667,31586.6667,67833.3333,78776.6667,33776.6667,30893.3333,67186.6667,66610,79090,28616.6667,66036.6667,78860,32386.6667,29503.3333,65886.6667
12,74686.6667,78316.6667,38540,74523.3333,78560,41343.3333,37536.6667,74560,68953.3333,79203.3333,31853.3333,69030,78923.3333,34506.6667,31350,68403.3333,67790,79220,29310,67283.3333,78996.6667,32826.6667,29713.3333,66803.3333
13,75120,78360,40076.6667,75050,78560,42040,38733.3333,75113.3333,69496.6667,79346.6667,32156.6667,69793.3333,79040,34536.6667,31950,69080,68603.3333,79343.3333,29926.6667,67860,79133.3333,32963.3333,30223.3333,67316.6667
14,75853.3333,78360,41083.3333,75876.6667,78560,42760,39726.6667,75660,70396.6667,79553.3333,32746.6667,70970,79113.3333,34830,32173.3333,70350,69560,79440,30960,68670,79180,33550,30346.6667,68486.6667
15,76236.6667,78360,41873.3333,76423.3333,78560,43156.6667,40193.3333,75956.6667,71256.6667,79590,33036.6667,71710,79160,35010,32796.6667,70830,70310,79510,31083.3333,69793.3333,79290,33996.6667,31300,68996.6667
16,76653.3333,78360,42660,76630,78566.6667,44023.3333,41033.3333,76126.6667,71973.3333,79623.3333,33646.6667,72343.3333,79260,35190,33086.6667,71403.3333,71143.3333,79513.3333,31213.3333,70186.6667,79300,34070,31470,69590
17,76733.3333,78370,43093.3333,76790,78566.6667,44646.6667,42200,76306.6667,72433.3333,79713.3333,34316.6667,72576.6667,79276.6667,35683.3333,34076.6667,72443.3333,72026.6667,79543.3333,31583.3333,70706.6667,79340,34206.6667,32070,69853.3333
